##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	FLEX	Fluorescence	TRUE	Reduced	FALSE	61	300	5				2	510 510	1	6	96	340 380	Automatic	495 495			6	Medium			1	8	TimeTags	
	Temperature(¡C)	A1T	A1	A2T	A2	A3T	A3	A4T	A4	A5T	A5	A6T	A6	A7T	A7	A8T	A8	A9T	A9	A10T	A10	A11T	A11	A12T	A12	B1T	B1	B2T	B2	B3T	B3	B4T	B4	B5T	B5	B6T	B6	B7T	B7	B8T	B8	B9T	B9	B10T	B10	B11T	B11	B12T	B12	C1T	C1	C2T	C2	C3T	C3	C4T	C4	C5T	C5	C6T	C6	C7T	C7	C8T	C8	C9T	C9	C10T	C10	C11T	C11	C12T	C12	D1T	D1	D2T	D2	D3T	D3	D4T	D4	D5T	D5	D6T	D6	D7T	D7	D8T	D8	D9T	D9	D10T	D10	D11T	D11	D12T	D12	E1T	E1	E2T	E2	E3T	E3	E4T	E4	E5T	E5	E6T	E6	E7T	E7	E8T	E8	E9T	E9	E10T	E10	E11T	E11	E12T	E12	F1T	F1	F2T	F2	F3T	F3	F4T	F4	F5T	F5	F6T	F6	F7T	F7	F8T	F8	F9T	F9	F10T	F10	F11T	F11	F12T	F12	G1T	G1	G2T	G2	G3T	G3	G4T	G4	G5T	G5	G6T	G6	G7T	G7	G8T	G8	G9T	G9	G10T	G10	G11T	G11	G12T	G12	H1T	H1	H2T	H2	H3T	H3	H4T	H4	H5T	H5	H6T	H6	H7T	H7	H8T	H8	H9T	H9	H10T	H10	H11T	H11	H12T	H12	
	24.03	0.735	1.606568	0.7748	1.372481	0.7344	1.472545	0.756	1.248478	0.7404	1.312352	0.7454	1.227374													0.8886	1.698578	0.8772	1.531137	0.888	1.387056	0.9096	1.25161	0.894	1.265589	0.899	1.214894													1.0422	1.563364	1.0308	1.418641	1.0416	1.319466	1.0632	1.240412	1.0476	1.252926	1.0526	1.160715													1.1958	1.572114	1.2356	1.394464	1.1952	1.303223	1.2168	1.252661	1.2012	1.242577	1.2062	1.180479													1.3494	1.126653	1.338	1.40061	1.3488	1.323369	1.3704	1.230646	1.3548	1.249825	1.3598	1.18851													1.503	1.620763	1.5428	1.437696	1.5024	1.389456	1.524	1.303737	1.5084	1.239324	1.5134	1.197089													1.6566	1.571248	1.6964	1.488054	1.656	1.364573	1.6776	1.256336	1.662	1.261063	1.667	1.215366													1.8102	1.590106	1.85	1.466712	1.8096	1.359386	1.8312	1.307366	1.8156	1.265263	1.8206	1.212219													
	24.03	5.087	1.603625	5.9972	1.366793	5.9568	1.447373	5.876	1.224102	5.8092	1.346225	5.8142	1.216732													5.2406	1.636342	6.1508	1.540301	6.1104	1.416428	6.0296	1.255144	5.9628	1.276511	5.9678	1.205787													5.3942	1.568633	6.3044	1.46335	6.264	1.312165	6.1832	1.271355	6.1164	1.223161	6.1214	1.170345													5.5478	1.560905	6.458	1.400063	6.4176	1.296254	6.3368	1.251618	6.27	1.232218	6.275	1.169538													5.7526	1.166237	6.6116	1.396767	6.5712	1.32991	6.4904	1.245457	6.4236	1.223995	6.4286	1.158087													5.855	1.639173	6.7652	1.454602	6.7248	1.389755	6.644	1.255331	6.5772	1.267815	6.5822	1.170774													6.0086	1.602326	6.9188	1.507211	6.8784	1.374943	6.7976	1.287408	6.7308	1.283629	6.7358	1.201953													6.1622	1.55375	7.0724	1.427802	7.032	1.35705	6.9512	1.289906	6.8844	1.236992	6.8894	1.221287													
	24.03	10.1046	1.539311	10.9636	1.341838	10.9232	1.478186	10.8936	1.263796	10.8268	1.301916	10.7806	1.195913													10.2582	1.644532	11.1172	1.533093	11.0768	1.365234	11.0472	1.245052	10.9804	1.24159	10.9342	1.175312													10.4118	1.547032	11.2708	1.381449	11.2304	1.339082	11.2008	1.287259	11.134	1.249238	11.0878	1.19023													10.5654	1.583379	11.4244	1.387351	11.384	1.336704	11.3544	1.231802	11.2876	1.239613	11.2414	1.175597													10.719	1.139542	11.578	1.421881	11.5376	1.318503	11.508	1.260306	11.4412	1.233954	11.395	1.19518													10.8726	1.650532	11.7316	1.423832	11.6912	1.33426	11.6616	1.281875	11.5948	1.234318	11.5486	1.184085													11.0262	1.61667	11.8852	1.500316	11.8448	1.317249	11.8152	1.256076	11.7484	1.254088	11.7022	1.198906													11.1798	1.609241	12.0388	1.448062	11.9984	1.351721	11.9688	1.28493	11.902	1.251195	11.8558	1.231029													
	24.03	15.1222	1.571107	15.9812	1.353983	15.9408	1.477166	15.9112	1.260746	15.8444	1.327508	15.7982	1.208142													15.2758	1.680286	16.1348	1.518929	16.0944	1.431947	16.0648	1.258574	15.9468	1.2552	15.9518	1.18708													15.4294	1.571719	16.2372	1.443688	16.248	1.306276	16.1672	1.279128	16.1004	1.244435	16.1054	1.162478													15.583	1.57098	16.3908	1.406363	16.4016	1.302266	16.3208	1.239143	16.3052	1.250933	16.259	1.187042													15.7366	1.124185	16.5444	1.406401	16.5552	1.28505	16.4744	1.244046	16.4588	1.254562	16.4126	1.161722													15.8902	1.596414	16.698	1.406242	16.7088	1.357521	16.6792	1.243743	16.6124	1.289287	16.5662	1.209665													16.0438	1.568335	16.8516	1.483184	16.8624	1.350191	16.7816	1.286133	16.766	1.281271	16.7198	1.19165													16.1974	1.6218	17.0052	1.480446	17.016	1.390719	16.9864	1.300086	16.9196	1.24541	16.8734	1.183865													
	24.03	20.0886	1.568184	20.9476	1.364271	20.9072	1.457076	20.8776	1.228358	20.862	1.272986	20.7646	1.220878													20.2422	1.669872	21.1012	1.469105	21.0608	1.406573	21.0312	1.262641	21.0156	1.260389	20.9182	1.181976													20.3958	1.547242	21.2548	1.419541	21.2656	1.335046	21.1848	1.266446	21.1692	1.226995	21.0718	1.233876													20.5494	1.592293	21.4084	1.423962	21.4192	1.300599	21.3384	1.256339	21.3228	1.258914	21.2254	1.197268													20.703	1.161811	21.562	1.411776	21.5728	1.31668	21.492	1.253552	21.4764	1.230505	21.4302	1.175595													20.8566	1.623416	21.7156	1.437763	21.7264	1.3341	21.6456	1.235933	21.63	1.245711	21.5326	1.182741													21.0102	1.577916	21.8692	1.499431	21.88	1.338173	21.7992	1.261229	21.7836	1.301729	21.6862	1.216851													21.1638	1.551764	22.0228	1.434515	22.0336	1.336229	21.9528	1.307883	21.9372	1.259377	21.8398	1.181771													
	24.03	25.1062	1.578598	25.9652	1.346946	25.9248	1.45566	25.8952	1.257576	25.8284	1.332715	25.7822	1.199637													25.2598	1.638541	26.1188	1.513902	26.0784	1.413768	26.0488	1.228748	25.982	1.236897	25.9358	1.22866													25.4134	1.591452	26.2724	1.411495	26.232	1.293055	26.2024	1.27048	26.1356	1.235326	26.0894	1.196598													25.567	1.572194	26.426	1.401742	26.3856	1.302385	26.356	1.255916	26.2892	1.220402	26.243	1.165067													25.7206	1.130919	26.5796	1.418203	26.5392	1.328464	26.5096	1.244477	26.4428	1.228167	26.3966	1.137199													25.8742	1.578284	26.7332	1.467083	26.6928	1.342019	26.6632	1.242381	26.5964	1.27206	26.5502	1.155091													25.9766	1.528554	26.8868	1.486313	26.8464	1.376018	26.8168	1.256194	26.75	1.251941	26.7038	1.177671													26.1814	1.5636	27.0404	1.459188	27	1.352395	26.9704	1.276639	26.9036	1.256477	26.8574	1.193477													
	24.03	30.0726	1.574087	30.9828	1.366637	30.9424	1.449827	30.8616	1.249229	30.846	1.325729	30.7998	1.198246													30.2774	1.62028	31.1364	1.522205	31.096	1.419087	31.0152	1.219294	30.9996	1.266189	30.9534	1.200417													30.3798	1.570499	31.2388	1.405012	31.2496	1.310929	31.1688	1.256383	31.1532	1.21125	31.107	1.175097													30.5334	1.552619	31.4436	1.382742	31.4032	1.299215	31.3736	1.228226	31.3068	1.249833	31.2606	1.194172													30.7382	1.140792	31.5972	1.360169	31.5568	1.307812	31.5272	1.276306	31.4604	1.224278	31.4142	1.144998													30.8918	1.596322	31.7508	1.429342	31.7104	1.339141	31.6296	1.263481	31.614	1.267743	31.5678	1.185455													31.0454	1.559835	31.8532	1.460406	31.864	1.339041	31.7832	1.263249	31.7676	1.263455	31.7214	1.209711													31.1478	1.505191	32.0068	1.439442	32.0176	1.344684	31.9368	1.304416	31.9212	1.289033	31.875	1.193682													
	24.03	35.0902	1.599145	35.9492	1.363857	35.9088	1.478618	35.8792	1.261599	35.8636	1.279451	35.7662	1.215867													35.2438	1.627969	36.1028	1.486027	36.0624	1.361667	36.0328	1.245415	36.0172	1.239076	35.9198	1.189603													35.3974	1.541732	36.2564	1.464052	36.216	1.313052	36.1864	1.285024	36.1708	1.240864	36.0734	1.184984													35.551	1.545965	36.41	1.327639	36.3696	1.316294	36.34	1.255892	36.3244	1.208057	36.227	1.188031													35.7046	1.112155	36.5636	1.357172	36.5232	1.261817	36.4936	1.238176	36.478	1.242564	36.3806	1.154447													35.8582	1.624772	36.7172	1.403358	36.6768	1.359434	36.6472	1.273789	36.6316	1.24611	36.5342	1.190961													36.0118	1.520787	36.8708	1.491356	36.8304	1.362433	36.8008	1.253894	36.7852	1.236623	36.6878	1.227037													36.1654	1.565822	37.0244	1.437698	36.984	1.335326	36.9544	1.294973	36.9388	1.266065	36.8414	1.197644													
	24.03	40.1078	1.614591	40.9668	1.352372	40.9264	1.492877	40.8968	1.277372	40.83	1.319496	40.7838	1.203447													40.2614	1.668785	41.1204	1.519148	41.08	1.378807	41.0504	1.261337	40.9836	1.238144	40.9374	1.207303													40.415	1.562594	41.274	1.441362	41.2336	1.29626	41.204	1.288186	41.1372	1.23144	41.091	1.196952													40.5686	1.593484	41.4276	1.382045	41.3872	1.260393	41.3576	1.228285	41.2908	1.226852	41.2446	1.17178													40.7222	1.109003	41.5812	1.358328	41.5408	1.299594	41.5112	1.244315	41.4444	1.245255	41.3982	1.155748													40.8758	1.603579	41.7348	1.425335	41.6944	1.33228	41.6648	1.24332	41.598	1.267882	41.5518	1.173477													41.0294	1.546068	41.8884	1.477589	41.848	1.354129	41.8184	1.266629	41.7516	1.267443	41.7054	1.210111													41.183	1.569519	42.042	1.452724	42.0016	1.36922	41.972	1.299251	41.9052	1.248831	41.859	1.193604													
	24.03	45.0742	1.607946	45.9844	1.353913	45.944	1.476528	45.9144	1.241286	45.8476	1.307359	45.8014	1.22499													45.2278	1.662263	46.138	1.492606	46.0976	1.414988	46.0168	1.234315	46.0012	1.270681	45.955	1.205881													45.3814	1.511449	46.2916	1.448555	46.2512	1.334104	46.2216	1.267479	46.1548	1.250971	46.1086	1.216287													45.535	1.522888	46.4452	1.401444	46.4048	1.261932	46.3752	1.238914	46.3084	1.231976	46.2622	1.193158													45.6886	1.121784	46.5988	1.361228	46.5584	1.32437	46.5288	1.265994	46.462	1.210552	46.4158	1.169746													45.8422	1.608619	46.7524	1.420617	46.712	1.350243	46.6312	1.272159	46.6156	1.218075	46.5694	1.200201													45.9958	1.527124	46.906	1.476945	46.8656	1.343088	46.7848	1.277077	46.7692	1.249861	46.723	1.189439													46.1494	1.569621	47.0596	1.461435	47.0192	1.335792	46.9384	1.257795	46.9228	1.252333	46.8766	1.175348													
