##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	FLEX	Fluorescence	TRUE	Reduced	FALSE	61	300	5				2	510 510	1	12	96	340 380	Automatic	495 495			6	Medium			1	8	TimeTags	
	Temperature(¡C)	A1T	A1	A2T	A2	A3T	A3	A4T	A4	A5T	A5	A6T	A6	A7T	A7	A8T	A8	A9T	A9	A10T	A10	A11T	A11	A12T	A12	B1T	B1	B2T	B2	B3T	B3	B4T	B4	B5T	B5	B6T	B6	B7T	B7	B8T	B8	B9T	B9	B10T	B10	B11T	B11	B12T	B12	C1T	C1	C2T	C2	C3T	C3	C4T	C4	C5T	C5	C6T	C6	C7T	C7	C8T	C8	C9T	C9	C10T	C10	C11T	C11	C12T	C12	D1T	D1	D2T	D2	D3T	D3	D4T	D4	D5T	D5	D6T	D6	D7T	D7	D8T	D8	D9T	D9	D10T	D10	D11T	D11	D12T	D12	E1T	E1	E2T	E2	E3T	E3	E4T	E4	E5T	E5	E6T	E6	E7T	E7	E8T	E8	E9T	E9	E10T	E10	E11T	E11	E12T	E12	F1T	F1	F2T	F2	F3T	F3	F4T	F4	F5T	F5	F6T	F6	F7T	F7	F8T	F8	F9T	F9	F10T	F10	F11T	F11	F12T	F12	G1T	G1	G2T	G2	G3T	G3	G4T	G4	G5T	G5	G6T	G6	G7T	G7	G8T	G8	G9T	G9	G10T	G10	G11T	G11	G12T	G12	H1T	H1	H2T	H2	H3T	H3	H4T	H4	H5T	H5	H6T	H6	H7T	H7	H8T	H8	H9T	H9	H10T	H10	H11T	H11	H12T	H12	
	24.56	0.7424	1.208702	0.752	1.227104	0.7498	1.221619	0.743	1.215641	0.7482	1.255969	0.7524	1.220688	0.7486	1.169486	0.7428	1.198202	0.7514	1.253877	0.7448	1.248659	0.7466	1.184777	0.7566	5.471649	0.9088	1.245407	0.8928	1.234575	0.9034	1.267968	0.8966	1.255042	0.9018	1.276783	0.906	1.286434	0.9022	1.272415	0.9092	1.299998	0.8922	1.272485	0.9112	1.288456	0.8874	1.295683	0.8974	1.307163	1.0496	1.136199	1.0464	1.246608	1.057	1.248747	1.0502	1.274342	1.0554	1.248847	1.0596	1.246637	1.0558	1.292569	1.0628	1.299326	1.0458	1.280745	1.052	1.303604	1.041	1.080142	1.051	1.247126	1.2032	1.266743	1.2	1.255154	1.2106	1.248162	1.2166	1.308171	1.209	1.231137	1.2132	1.263528	1.2094	1.285599	1.2036	1.324656	1.2122	1.282682	1.2056	1.288095	1.1946	1.263543	1.2174	1.251118	1.3568	1.213458	1.3536	1.229318	1.3642	1.277075	1.3574	1.24463	1.3626	1.303796	1.354	1.291112	1.363	1.318962	1.3572	1.276399	1.3658	1.287362	1.3592	1.235185	1.3482	1.245689	1.3582	1.304681	1.5104	1.254932	1.52	1.276079	1.5178	1.265124	1.511	1.249271	1.5162	1.256166	1.5076	1.274286	1.5038	1.330495	1.5108	1.283901	1.5194	1.2987	1.5128	1.291342	1.5018	1.296352	1.5246	1.313418	1.6768	1.253253	1.6608	1.259363	1.6586	1.255542	1.6646	1.249798	1.6698	1.237614	1.674	1.254456	1.6702	1.62843	1.6772	1.2708	1.673	1.329917	1.6664	1.374718	1.6426	1.319586	1.6782	1.415341	1.8176	1.328688	1.8144	1.284935	1.8122	1.262321	1.8182	1.281094	1.8234	1.283528	1.8276	1.285894	1.8238	3.215617	1.818	1.68825	1.8266	2.699507	1.82	2.557751	1.809	1.425497	1.8318	1.782878	
	24.56	5.1072	1.23989	5.9744	1.235859	5.9338	1.219837	5.8758	1.176117	5.8298	1.228734	5.7956	1.227298	5.7406	1.128972	5.6964	1.228757	5.6538	1.214187	5.596	1.207476	5.5466	1.177242	5.5054	5.369717	5.248	1.257283	6.128	1.248224	6.0874	1.240993	6.0422	1.26408	5.9706	1.283027	5.9492	1.255945	5.907	1.287452	5.85	1.271783	5.7946	1.318484	5.7496	1.29734	5.713	1.300634	5.6718	1.309872	5.4016	1.182974	6.2816	1.246422	6.241	1.247382	6.1958	1.260916	6.1242	1.231657	6.1028	1.264762	6.0606	1.284798	6.0036	1.287626	5.9482	1.286983	5.9032	1.291661	5.8666	1.105589	5.8126	1.272688	5.5552	1.258365	6.448	1.268557	6.3946	1.270705	6.3494	1.273293	6.2778	1.231555	6.2564	1.236544	6.2014	1.299005	6.17	1.296994	6.1146	1.329868	6.0568	1.306554	6.0202	1.291442	5.9662	1.260979	5.7088	1.232897	6.5888	1.224572	6.5482	1.253451	6.5158	1.250185	6.4314	1.286031	6.41	1.2605	6.355	1.290692	6.3236	1.259451	6.2554	1.287054	6.2104	1.266533	6.1738	1.280956	6.1326	1.32233	5.8752	1.276965	6.7424	1.266712	6.7018	1.263011	6.6566	1.282557	6.585	1.2659	6.5764	1.27345	6.5086	1.298103	6.4644	1.295665	6.4218	1.320163	6.364	1.300822	6.3274	1.326231	6.2862	1.32303	6.0288	1.301713	6.896	1.287008	6.8554	1.273096	6.8102	1.270175	6.7386	1.24611	6.7172	1.305265	6.6622	1.638259	6.618	1.280684	6.5754	1.348877	6.5176	1.362878	6.481	1.335916	6.427	1.438037	6.1824	1.286781	7.0496	1.28722	7.009	1.279447	6.9638	1.27391	6.905	1.271882	6.8836	1.277547	6.8158	3.283329	6.7716	1.696925	6.729	2.639102	6.684	2.519895	6.6218	1.418812	6.5806	1.801099	
	24.56	10.0992	1.242545	10.9664	1.254724	10.9258	1.207057	10.8806	1.217071	10.8218	1.266227	10.8004	1.234621	10.7454	1.112812	10.7012	1.230139	10.6458	1.240781	10.6008	1.218338	10.5514	1.168972	10.5102	5.353995	10.2528	1.21824	11.12	1.259048	11.0922	1.258593	11.0342	1.283203	10.9626	1.264455	10.9412	1.282753	10.899	1.316734	10.842	1.277853	10.7994	1.319195	10.7544	1.292479	10.705	1.252152	10.6638	1.27319	10.4064	1.189455	11.2736	1.251085	11.233	1.238825	11.1878	1.254032	11.129	1.24764	11.1076	1.268807	11.0398	1.313189	10.9956	1.296425	10.953	1.300374	10.908	1.281485	10.8458	1.104458	10.8174	1.304702	10.5472	1.283665	11.4272	1.26291	11.3994	1.267653	11.3414	1.269548	11.2826	1.264427	11.2612	1.246045	11.2062	1.321251	11.162	1.236204	11.0938	1.323979	11.0616	1.284576	10.9994	1.283614	10.971	1.26666	10.7008	1.249057	11.568	1.251582	11.5402	1.275854	11.495	1.26008	11.4234	1.278722	11.4148	1.29136	11.3598	1.300135	11.3028	1.282039	11.2474	1.305071	11.2152	1.239692	11.153	1.28543	11.1246	1.340498	10.8672	1.276934	11.7344	1.279015	11.6938	1.251514	11.6486	1.250324	11.577	1.250446	11.5556	1.247604	11.5134	1.3552	11.4692	1.309812	11.4138	1.30334	11.3688	1.287199	11.3194	1.30586	11.2654	1.345003	11.0208	1.24793	11.888	1.260706	11.8474	1.262287	11.8022	1.241763	11.7306	1.237119	11.7092	1.300306	11.667	1.666346	11.6228	1.306263	11.5674	1.299203	11.5352	1.344411	11.4602	1.313218	11.4318	1.462887	11.1744	1.299263	12.0416	1.279471	12.001	1.253552	11.9558	1.277396	11.897	1.300011	11.8756	1.28554	11.8206	3.318258	11.7764	1.66498	11.7082	2.707232	11.676	2.547502	11.6266	1.457648	11.5854	1.795851	
	24.56	15.0912	1.22913	15.9712	1.257319	15.9306	1.210184	15.8854	1.215556	15.8138	1.252749	15.7924	1.242228	15.7502	1.109584	15.6932	1.214673	15.6378	1.218011	15.5928	1.229226	15.5562	1.17956	15.5278	5.391094	15.2448	1.256823	16.1248	1.285259	16.0842	1.249407	16.039	1.270179	15.9802	1.293532	15.9332	1.251348	15.891	1.291882	15.8468	1.29138	15.7914	1.28936	15.7464	1.301994	15.697	1.27382	15.6814	1.311371	15.3856	1.192166	16.2784	1.254159	16.2378	1.266936	16.1926	1.26965	16.1338	1.243744	16.0996	1.262905	16.0446	1.29274	16.0004	1.312205	15.9322	1.299724	15.9	1.303261	15.8634	1.092134	15.8222	1.259774	15.5392	1.253871	16.432	1.240557	16.4042	1.241525	16.3334	1.300024	16.2874	1.246161	16.2532	1.288558	16.1982	1.278042	16.1412	1.265351	16.0858	1.334832	16.0536	1.240893	16.017	1.274631	15.9886	1.249173	15.6928	1.24692	16.5856	1.248957	16.545	1.246515	16.487	1.263735	16.4538	1.260247	16.394	1.277773	16.3518	1.326164	16.2948	1.261675	16.2394	1.305488	16.2072	1.252908	16.1578	1.260664	16.1422	1.312157	15.8464	1.23791	16.7392	1.274299	16.6986	1.249506	16.6406	1.25261	16.5946	1.243896	16.5476	1.2729	16.5054	1.279821	16.4612	1.267891	16.393	1.28306	16.3608	1.272056	16.3114	1.277113	16.2958	1.313726	16	1.245133	16.8928	1.239992	16.8522	1.283959	16.7942	1.283944	16.7482	1.273364	16.7012	1.297246	16.659	1.679884	16.6148	1.310561	16.5466	1.349325	16.5144	1.390456	16.465	1.321014	16.4366	1.48202	16.1536	1.323325	17.0464	1.267053	17.0058	1.236527	16.9478	1.296668	16.9018	1.260826	16.8548	1.294273	16.8254	3.170548	16.7684	1.671824	16.7002	2.543652	16.668	2.568998	16.6314	1.43218	16.5902	1.808454	
	24.56	20.0832	1.205422	20.9632	1.248752	20.9226	1.203484	20.903	1.235734	20.8186	1.245213	20.7844	1.236022	20.7294	1.16673	20.6852	1.206644	20.6426	1.247125	20.5976	1.268462	20.5354	1.170756	20.507	5.435718	20.2368	1.226908	21.1168	1.240305	21.0762	1.231907	21.0438	1.263035	20.9722	1.272963	20.938	1.256729	20.883	1.26343	20.8388	1.292501	20.7962	1.284084	20.7512	1.296757	20.689	1.293895	20.6606	1.281306	20.3904	1.168641	21.2704	1.228506	21.2298	1.225802	21.1974	1.2506	21.1258	1.25649	21.0916	1.269057	21.0494	1.260208	20.9924	1.30491	20.9626	1.289493	20.9048	1.319617	20.8554	1.082515	20.8014	1.282485	20.544	1.301782	21.424	1.241374	21.3834	1.304913	21.3638	1.279371	21.2794	1.261438	21.2324	1.251153	21.1902	1.29951	21.146	1.282138	21.1034	1.331599	21.0584	1.322569	20.9962	1.270318	20.9678	1.293634	20.6976	1.240456	21.5776	1.231524	21.537	1.259254	21.5046	1.26047	21.433	1.292441	21.3988	1.258733	21.3438	1.347676	21.2996	1.285234	21.2698	1.327705	21.212	1.259897	21.1498	1.243288	21.1214	1.339978	20.8512	1.263102	21.7312	1.270475	21.7034	1.260956	21.671	1.281877	21.5866	1.24173	21.5524	1.295699	21.4974	1.36769	21.4532	1.280714	21.4234	1.291933	21.3656	1.302081	21.3034	1.299024	21.275	1.324687	21.0048	1.253597	21.8848	1.252548	21.857	1.270858	21.8246	1.300241	21.7402	1.269938	21.706	1.283625	21.651	1.69263	21.6068	1.303529	21.577	1.317286	21.5192	1.349985	21.457	1.298512	21.4286	1.405233	21.1584	1.316525	22.0256	1.281884	22.0106	1.295648	21.9782	1.300062	21.8938	1.268456	21.8596	1.304577	21.8046	3.176934	21.7476	1.666785	21.7178	2.592069	21.6728	2.527545	21.6106	1.402127	21.5822	1.801952	
	24.56	25.088	1.247611	25.9552	1.244595	25.9274	1.24604	25.8822	1.216703	25.8106	1.214137	25.7892	1.225804	25.7342	1.150906	25.69	1.211218	25.6346	1.229495	25.5896	1.26701	25.5402	1.179203	25.5118	5.464297	25.2544	1.251408	26.1088	1.249977	26.081	1.252393	26.023	1.2836	25.977	1.259198	25.9428	1.279027	25.8878	1.27636	25.8436	1.250345	25.801	1.293608	25.7432	1.267182	25.6938	1.27819	25.6526	1.318171	25.3952	1.168895	26.2624	1.222708	26.2346	1.252303	26.1766	1.275843	26.1306	1.238465	26.0964	1.244143	26.0542	1.282992	26.01	1.265106	25.9418	1.283612	25.8968	1.322195	25.8474	1.110087	25.8062	1.23838	25.5488	1.284593	26.416	1.266973	26.3754	1.27103	26.3302	1.26561	26.2842	1.243814	26.2628	1.272351	26.2206	1.289402	26.1636	1.268313	26.0954	1.332818	26.0504	1.27638	26.001	1.235999	25.9598	1.285901	25.7024	1.229142	26.5696	1.249219	26.529	1.268008	26.4838	1.259934	26.4378	1.297345	26.4036	1.331013	26.3742	1.320786	26.3172	1.275221	26.249	1.310863	26.204	1.24845	26.1674	1.275244	26.1134	1.279047	25.856	1.281389	26.7232	1.274836	26.6954	1.259416	26.6374	1.289096	26.5914	1.254267	26.5572	1.266129	26.5278	1.284349	26.4708	1.279679	26.4026	1.302954	26.3704	1.307304	26.3082	1.329965	26.267	1.343025	26.0096	1.302429	26.8896	1.252884	26.849	1.261232	26.791	1.283819	26.745	1.242022	26.7108	1.310148	26.6942	1.748634	26.6372	1.303285	26.5562	1.346399	26.524	1.338938	26.4746	1.317207	26.4206	1.470105	26.1632	1.29469	27.0432	1.270193	27.0026	1.264871	26.9574	1.26916	26.8986	1.27903	26.8644	1.274297	26.8478	3.112628	26.778	1.675633	26.7098	2.672237	26.6776	2.553036	26.6282	1.390381	26.587	1.872659	
	24.56	30.0928	1.22369	30.96	1.230943	30.9194	1.244401	30.8742	1.178967	30.8154	1.214515	30.7812	1.229771	30.739	1.154144	30.682	1.223105	30.6394	1.22171	30.5944	1.218341	30.545	1.160812	30.491	5.363478	30.2464	1.245413	31.1136	1.254191	31.0602	1.264961	31.015	1.274952	30.969	1.267487	30.9348	1.297423	30.8926	1.303276	30.8484	1.336178	30.793	1.257873	30.7352	1.318301	30.6986	1.302432	30.6446	1.27816	30.4	1.178408	31.2672	1.25257	31.2266	1.249231	31.1814	1.277522	31.1226	1.268255	31.0884	1.255402	31.0462	1.315279	31.002	1.315872	30.9466	1.300296	30.8888	1.255675	30.8522	1.085806	30.811	1.264028	30.5664	1.274948	31.4336	1.245852	31.3802	1.255309	31.335	1.242824	31.2762	1.230039	31.242	1.27173	31.1998	1.279354	31.1428	1.302824	31.1002	1.307675	31.0424	1.272341	31.0058	1.307103	30.9518	1.306144	30.7072	1.271091	31.5872	1.263086	31.5338	1.255468	31.4758	1.275312	31.4298	1.285844	31.3956	1.283462	31.3406	1.331976	31.2964	1.270116	31.2538	1.312772	31.196	1.276714	31.1466	1.233111	31.1054	1.31844	30.8608	1.252402	31.7408	1.26876	31.6874	1.303392	31.6294	1.295782	31.5962	1.262044	31.5492	1.284469	31.4942	1.31996	31.45	1.307071	31.3946	1.284113	31.3496	1.294018	31.3002	1.315914	31.259	1.342838	31.0144	1.246733	31.8816	1.262045	31.8282	1.282122	31.783	1.267299	31.737	1.246774	31.7028	1.25417	31.6606	1.64095	31.6164	1.248411	31.5482	1.328291	31.5032	1.363784	31.4666	1.320777	31.4126	1.439326	31.168	1.320536	32.0352	1.266568	31.9946	1.256378	31.9494	1.297413	31.8906	1.260789	31.8564	1.33301	31.8142	3.274816	31.7572	1.73719	31.7018	2.758474	31.6568	2.523627	31.6202	1.454663	31.5662	1.772213	
	24.57	35.0848	1.240704	35.9648	1.212463	35.9242	1.215057	35.8662	1.205049	35.8202	1.265826	35.786	1.254524	35.731	1.151078	35.6868	1.195209	35.6314	1.229464	35.5864	1.19866	35.537	1.166116	35.4958	5.459614	35.2384	1.229307	36.1056	1.24038	36.0778	1.250231	36.0198	1.260916	35.961	1.26157	35.9396	1.242976	35.8974	1.239722	35.8404	1.297435	35.785	1.279566	35.7272	1.295752	35.7034	1.297483	35.6494	1.295322	35.392	1.17175	36.2592	1.219533	36.2314	1.256372	36.1734	1.288707	36.1146	1.266828	36.0804	1.264067	36.051	1.316906	35.994	1.323123	35.9386	1.293738	35.8936	1.284174	35.8442	1.088299	35.8158	1.253045	35.5456	1.252394	36.4256	1.270747	36.385	1.28466	36.327	1.265182	36.2682	1.232533	36.234	1.273935	36.2046	1.27014	36.1604	1.26698	36.0922	1.291568	36.0472	1.303982	36.0106	1.269455	35.9694	1.276946	35.6864	1.260524	36.5792	1.251811	36.5386	1.22533	36.4934	1.258579	36.4218	1.267264	36.3876	1.272663	36.3582	1.312759	36.314	1.277642	36.2458	1.325111	36.2008	1.242933	36.1642	1.252468	36.123	1.309166	35.8528	1.279914	36.72	1.296648	36.6922	1.263771	36.647	1.242823	36.5754	1.255907	36.554	1.270189	36.5118	1.319239	36.4548	1.271398	36.4122	1.290281	36.3416	1.279512	36.3178	1.2802	36.2766	1.341424	36.0064	1.252641	36.8736	1.261085	36.8586	1.275719	36.7878	1.239991	36.7162	1.244777	36.6948	1.258051	36.6654	1.719271	36.6084	1.264528	36.5658	1.296683	36.4952	1.398241	36.4586	1.324381	36.443	1.42782	36.16	1.303933	37.0272	1.245219	36.9994	1.289936	36.9414	1.28327	36.8826	1.292787	36.8612	1.294778	36.819	3.098084	36.762	1.783613	36.7066	2.686366	36.6488	2.594509	36.6122	1.377043	36.5966	1.837645	
	24.57	40.0896	1.221639	40.9568	1.260569	40.9162	1.26229	40.871	1.191063	40.8122	1.232599	40.778	1.216672	40.7358	1.135477	40.6916	1.194684	40.6362	1.242031	40.5784	1.252285	40.5418	1.171083	40.5134	5.170645	40.2432	1.268568	41.1104	1.246998	41.0698	1.248956	41.0246	1.245177	40.953	1.249421	40.9316	1.302737	40.8766	1.270632	40.8324	1.270576	40.7898	1.270887	40.7448	1.291772	40.6826	1.274171	40.6798	1.303184	40.384	1.170156	41.264	1.245417	41.2234	1.27215	41.1782	1.280742	41.1194	1.256053	41.0852	1.270389	41.0302	1.290906	40.986	1.320391	40.9306	1.291662	40.8984	1.270638	40.8362	1.099141	40.8334	1.271097	40.5376	1.277212	41.4176	1.246298	41.377	1.282582	41.3318	1.310702	41.273	1.258042	41.2388	1.275167	41.1966	1.303861	41.1524	1.260959	41.097	1.320034	41.0392	1.284024	41.0026	1.292775	40.987	1.250826	40.6912	1.244518	41.5584	1.250941	41.5306	1.267798	41.4854	1.249842	41.4266	1.291207	41.3924	1.259642	41.3502	1.282335	41.2932	1.300429	41.2506	1.298246	41.2056	1.244938	41.1562	1.272113	41.1406	1.329922	40.8448	1.256364	41.7248	1.260867	41.6842	1.25542	41.6262	1.276041	41.5802	1.260303	41.5332	1.297739	41.5038	1.287266	41.4596	1.288571	41.4042	1.300509	41.3592	1.28531	41.3098	1.315898	41.2942	1.308151	40.9984	1.287475	41.8784	1.274951	41.8378	1.307201	41.7926	1.268334	41.7338	1.252952	41.6868	1.273129	41.6574	1.667207	41.6132	1.242278	41.5578	1.38059	41.5128	1.344141	41.4634	1.298158	41.435	1.42548	41.152	1.342565	42.032	1.292903	41.9914	1.331853	41.9462	1.288499	41.8874	1.28013	41.8532	1.301249	41.8238	3.366721	41.7668	1.71653	41.7242	2.621685	41.6664	2.523004	41.617	1.39178	41.5886	1.750966	
	24.56	45.0816	1.245779	45.9872	1.26989	45.9338	1.229406	45.863	1.197914	45.8298	1.256367	45.7956	1.246266	45.7534	1.129898	45.6964	1.226389	45.6282	1.231062	45.6088	1.255707	45.5466	1.15953	45.5182	5.426825	45.2224	1.251884	46.128	1.241424	46.0874	1.258384	46.0294	1.272417	45.9834	1.297933	45.9492	1.263758	45.907	1.302981	45.85	1.266999	45.769	1.26333	45.7624	1.326919	45.7002	1.288323	45.659	1.312429	45.3888	1.159257	46.2944	1.263452	46.241	1.247966	46.183	1.252146	46.137	1.215877	46.1028	1.243054	46.0606	1.30406	45.9908	1.3089	45.9354	1.290441	45.916	1.288656	45.8538	1.111092	45.8126	1.257745	45.5424	1.29773	46.4352	1.238709	46.3946	1.25431	46.3366	1.252163	46.2906	1.271077	46.2564	1.270308	46.2014	1.308239	46.1444	1.281039	46.089	1.324867	46.0696	1.282736	46.0074	1.308844	45.979	1.255677	45.696	1.269343	46.5888	1.247991	46.5482	1.271036	46.4902	1.294842	46.4442	1.295596	46.4228	1.249047	46.355	1.305638	46.3108	1.300637	46.2426	1.30958	46.2104	1.268984	46.161	1.26722	46.1326	1.260134	45.8368	1.260959	46.7424	1.242728	46.7018	1.24254	46.6438	1.289253	46.585	1.226662	46.5636	1.274075	46.5086	1.328267	46.4644	1.271923	46.3834	1.299255	46.364	1.277257	46.3146	1.315631	46.2734	1.318737	45.9904	1.251836	46.896	1.253194	46.8554	1.287536	46.7974	1.25849	46.7514	1.26659	46.73	1.279486	46.6622	1.661779	46.6052	1.280279	46.537	1.340534	46.5176	1.381888	46.4682	1.320043	46.427	1.44264	46.144	1.35679	47.0496	1.258686	47.009	1.261771	46.951	1.287025	46.905	1.321429	46.8836	1.284034	46.8158	3.252568	46.7716	1.705423	46.6906	2.69169	46.6712	2.561943	46.6218	1.448999	46.5806	1.850162	
